Timestamp,InitiatorIP,ResponderIP,ResponderPort,Protocol,TotalBytes,Duration
2025-07-08 02:30:37,83.157.199.74,155.161.184.245,51020,ICMP,967047,34
2025-07-08 12:01:37,54.205.54.78,192.168.1.41,28431,ICMP,91771,144
2025-07-08 00:56:37,192.168.1.49,78.45.118.32,50002,UDP,143543,3222
2025-07-08 08:09:37,117.224.253.21,192.168.1.17,25085,TCP,4842325,1381
2025-07-07 23:33:37,89.151.250.197,221.254.243.92,80,ICMP,814555,12
2025-07-08 13:55:37,222.189.22.20,110.136.87.160,50927,ICMP,535107,3181
2025-07-08 06:51:37,54.150.255.8,211.39.231.57,15577,ICMP,863734,1919
2025-07-08 13:33:37,222.151.192.86,115.47.181.91,35320,ICMP,876353,2125
2025-07-08 03:57:37,101.185.34.222,110.136.87.160,43642,ICMP,411669,1895
2025-07-08 19:21:37,21.186.60.209,162.12.220.96,22,TCP,452902,1265
2025-07-08 03:36:37,192.168.1.25,12.64.85.94,2589,ICMP,931515,2209
2025-07-07 21:18:37,115.5.29.97,162.31.176.95,995,TCP,592265,1339
2025-07-07 22:02:37,83.157.199.74,64.156.38.99,7940,ICMP,937280,2831
2025-07-08 04:10:37,192.168.1.39,192.168.1.42,23177,UDP,838956,2557
2025-07-07 20:52:37,192.168.1.33,117.155.34.21,2658,ICMP,756942,2389
2025-07-08 10:42:37,100.21.146.64,101.185.34.222,47300,UDP,596576,927
2025-07-08 09:32:37,54.150.255.8,192.168.1.43,47300,TCP,495624,190
2025-07-08 03:26:37,210.38.190.248,192.168.1.19,34823,TCP,982717,239
2025-07-08 03:05:37,196.44.170.188,221.254.243.92,23666,TCP,781046,465
2025-07-08 12:08:37,192.168.1.38,91.57.11.161,62257,TCP,666447,3555
2025-07-08 10:56:37,40.86.164.32,192.168.1.10,29147,ICMP,6553849,3468
2025-07-07 20:23:37,192.168.1.26,192.168.1.22,51020,TCP,752851,2314
2025-07-07 21:15:37,169.36.133.71,135.35.12.107,8685,UDP,509175,2595
2025-07-08 05:55:37,101.185.34.222,155.161.184.245,28711,ICMP,600898,1131
2025-07-08 05:22:37,164.18.185.120,192.168.1.32,45878,UDP,3607488,801
2025-07-07 23:23:37,192.168.1.25,78.246.182.161,12645,ICMP,692506,89
2025-07-08 11:28:37,162.31.176.95,140.172.144.237,110,ICMP,287136,2886
2025-07-07 19:56:37,87.159.69.91,192.168.1.48,38863,TCP,597692,858
2025-07-07 23:44:37,151.41.54.241,43.93.233.226,2589,ICMP,754955,3143
2025-07-08 05:47:37,201.118.141.193,86.98.9.28,993,TCP,146088,3407
2025-07-08 18:17:37,194.121.40.156,192.168.1.21,6297,TCP,130069,2135
2025-07-08 06:02:37,130.61.33.173,222.189.22.20,995,ICMP,161660,941
2025-07-08 13:33:37,18.125.169.171,155.223.46.187,23007,TCP,711986,15
2025-07-08 07:22:37,192.168.1.47,86.98.9.28,9191,UDP,687813,2511
2025-07-07 22:53:37,93.197.204.255,192.168.1.16,29147,TCP,624505,3200
2025-07-08 14:40:37,113.250.232.206,32.224.9.231,8685,TCP,705005,1725
2025-07-08 02:13:37,192.168.1.19,221.91.60.15,29147,TCP,48054,790
2025-07-08 14:13:37,63.227.43.1,65.46.117.115,38863,UDP,959508,2069
2025-07-08 11:28:37,118.133.134.241,12.2.236.183,9191,TCP,396995,1969
2025-07-08 14:23:37,93.98.62.57,86.98.9.28,995,ICMP,234714,1572
2025-07-08 10:43:37,4.66.167.88,212.104.57.85,52209,UDP,152295,2453
2025-07-07 19:45:37,192.168.1.16,63.227.43.1,50339,UDP,318736,2453
2025-07-08 13:17:37,192.168.1.13,83.66.230.243,50339,UDP,925033,2690
2025-07-08 00:30:37,207.204.98.62,194.121.40.156,24287,UDP,314668,1327
2025-07-08 15:36:37,185.199.25.83,100.21.146.64,18571,ICMP,170560,1430
2025-07-08 01:47:37,135.35.12.107,207.204.98.62,43642,ICMP,904711,49
2025-07-08 18:05:37,192.168.1.20,192.168.1.36,21,TCP,962054,2863
2025-07-08 17:27:37,45.140.219.165,192.168.1.15,110,UDP,456771,2490
2025-07-08 08:39:37,135.35.12.107,54.205.54.78,143,UDP,985493,1864
2025-07-08 14:11:37,192.168.1.38,147.17.218.28,1267,TCP,593186,505
2025-07-07 23:34:37,192.168.1.37,152.129.38.82,38863,TCP,969732,780
2025-07-08 01:44:37,78.246.182.161,164.18.185.120,6647,ICMP,907298,2180
2025-07-08 07:55:37,177.16.66.94,192.168.1.40,45417,UDP,9834197,162
2025-07-08 16:19:37,188.203.9.207,21.186.60.209,23177,UDP,108776,33
2025-07-08 01:22:37,104.197.200.107,192.168.1.41,25049,UDP,24158,1862
2025-07-08 00:17:37,221.254.243.92,21.186.60.209,45417,ICMP,216609,2021
2025-07-08 14:01:37,14.63.72.134,219.182.96.152,993,TCP,507834,2500
2025-07-08 18:44:37,192.168.1.16,14.63.72.134,80,TCP,59168,2654
2025-07-08 15:13:37,147.17.218.28,36.89.237.242,12328,TCP,290608,2106
2025-07-08 03:06:37,192.168.1.15,192.168.1.21,9191,ICMP,453543,2069
2025-07-08 04:24:37,222.151.192.86,162.12.220.96,35320,ICMP,561001,2702
2025-07-08 00:28:37,63.227.43.1,192.168.1.37,21,ICMP,912052,1353
2025-07-08 01:14:37,192.168.1.44,87.159.69.91,8685,UDP,164060,1798
2025-07-08 18:51:37,64.156.38.99,90.220.109.29,50339,ICMP,257943,3048
2025-07-08 13:54:37,192.168.1.48,192.168.1.18,43409,UDP,5045,1012
2025-07-08 10:25:37,32.224.9.231,135.35.12.107,43786,TCP,616818,1399
2025-07-08 16:30:37,152.129.38.82,192.168.1.10,43649,UDP,714002,19
2025-07-08 05:09:37,192.168.1.10,43.93.233.226,29147,ICMP,492080,253
2025-07-08 00:13:37,86.11.159.4,87.159.69.91,45417,ICMP,303090,2199
2025-07-08 08:20:37,164.18.185.120,83.157.199.74,40074,UDP,196028,1326
2025-07-07 21:20:37,16.73.143.75,34.40.188.108,8685,ICMP,952067,1347
2025-07-08 15:56:37,192.168.1.42,100.21.146.64,1267,TCP,685274,3219
2025-07-08 10:39:37,64.197.92.250,162.113.81.3,52209,TCP,48193,2194
2025-07-08 11:26:37,63.227.43.1,54.207.22.164,35320,TCP,162883,3132
2025-07-07 23:51:37,192.168.1.15,87.101.231.9,2589,TCP,587964,86
2025-07-08 05:19:37,192.168.1.25,155.223.46.187,1267,ICMP,816867,842
2025-07-08 06:10:37,192.168.1.33,192.168.1.26,14977,ICMP,294998,1443
2025-07-08 04:19:37,104.197.200.107,192.168.1.34,6647,ICMP,284096,489
2025-07-08 15:43:37,192.168.1.26,202.202.173.55,53980,TCP,542343,151
2025-07-08 18:28:37,192.168.1.39,78.45.118.32,29147,UDP,992095,3351
2025-07-07 22:21:37,192.168.1.10,192.168.1.16,34823,UDP,528865,1187
2025-07-07 23:59:37,54.207.22.164,211.39.231.57,34823,TCP,15214,2869
2025-07-08 02:55:37,34.223.180.243,192.168.1.15,28711,ICMP,9993928,1377
2025-07-08 12:34:37,192.168.1.20,83.66.230.243,62257,TCP,64627,2661
2025-07-08 10:42:37,162.31.176.95,192.168.1.46,12645,UDP,268708,273
2025-07-08 03:19:37,192.168.1.40,195.137.250.173,443,ICMP,725568,682
2025-07-07 23:43:37,64.197.92.250,177.16.66.94,6297,TCP,523609,3234
2025-07-08 07:00:37,192.168.1.33,100.21.146.64,43649,ICMP,348769,1117
2025-07-07 23:26:37,202.202.173.55,130.61.33.173,3083,TCP,350444,1648
2025-07-08 07:14:37,222.151.192.86,54.207.22.164,23425,TCP,802512,705
2025-07-08 01:35:37,69.18.75.160,192.168.1.30,14977,TCP,2150962,1482
2025-07-08 14:32:37,110.136.87.160,36.89.237.242,28431,ICMP,301225,1503
2025-07-08 09:36:37,192.168.1.34,86.98.9.28,2658,ICMP,758173,849
2025-07-08 09:30:37,118.133.134.241,196.44.170.188,45417,UDP,326961,1875
2025-07-08 19:08:37,209.173.79.182,54.205.54.78,23177,TCP,131720,217
2025-07-08 14:22:37,188.203.9.207,162.113.81.3,45878,ICMP,51284,211
2025-07-07 23:59:37,155.161.184.245,219.182.96.152,21,ICMP,289420,2368
2025-07-08 15:36:37,158.111.253.153,14.63.72.134,43642,ICMP,816858,3564
2025-07-08 06:52:37,85.38.165.125,177.16.66.94,43409,TCP,983167,1684
2025-07-08 07:03:37,192.168.1.39,192.168.1.29,58686,ICMP,18415,742
2025-07-08 06:49:37,40.86.164.32,135.35.12.107,24287,UDP,148507,1741
2025-07-07 22:39:37,192.168.1.28,192.168.1.25,45607,ICMP,887410,890
2025-07-08 17:20:37,18.125.169.171,192.168.1.41,62257,UDP,1916785,940
2025-07-08 17:00:37,16.73.143.75,192.168.1.42,62257,ICMP,521586,3508
2025-07-08 18:01:37,117.224.253.21,192.168.1.41,9191,UDP,707353,2242
2025-07-08 09:50:37,152.129.38.82,192.168.1.19,59980,TCP,4601469,2149
2025-07-08 12:53:37,192.168.1.10,162.31.176.95,35320,UDP,312847,1064
2025-07-08 01:08:37,192.168.1.30,162.31.176.95,63007,ICMP,261285,899
2025-07-08 01:53:37,77.157.103.122,192.168.1.29,51020,TCP,3870031,2387
2025-07-07 20:08:37,162.31.176.95,110.136.87.160,9191,TCP,468521,1738
2025-07-08 15:22:37,87.245.134.116,13.142.96.159,24287,UDP,856415,608
2025-07-08 04:48:37,69.18.75.160,192.168.1.29,63638,UDP,158534,1531
2025-07-07 20:00:37,199.119.150.212,100.21.146.64,58686,UDP,417104,1648
2025-07-07 20:57:37,152.129.38.82,192.168.1.44,45417,ICMP,1312763,3081
2025-07-07 23:14:37,151.41.54.241,192.168.1.12,35320,UDP,354550,1886
2025-07-08 01:00:37,90.220.109.29,192.168.1.11,25049,ICMP,792224,3235
2025-07-08 07:41:37,117.155.34.21,87.245.134.116,1264,ICMP,938475,876
2025-07-08 01:37:37,192.168.1.36,16.73.143.75,47300,ICMP,723609,1013
2025-07-08 05:00:37,132.2.73.56,87.159.69.91,47300,UDP,49338,2682
2025-07-08 19:06:37,192.168.1.35,192.168.1.38,995,ICMP,911207,2930
2025-07-08 10:58:37,192.168.1.38,157.149.95.221,995,ICMP,64709,3161
2025-07-08 00:19:37,87.245.134.116,184.186.181.36,9191,ICMP,677853,13
2025-07-08 15:11:37,118.133.134.241,4.146.247.130,14977,ICMP,879128,3317
2025-07-08 02:49:37,157.149.95.221,192.168.1.21,1264,UDP,79384,3529
2025-07-08 11:51:37,192.168.1.27,192.168.1.32,51020,UDP,797837,3246
2025-07-07 20:53:37,192.168.1.30,192.168.1.30,443,UDP,229373,2704
2025-07-08 04:23:37,132.2.73.56,119.230.201.57,39805,TCP,33099,1595
2025-07-08 16:05:37,192.168.1.41,164.231.212.154,45878,UDP,199301,1219
2025-07-07 23:41:37,192.168.1.37,212.104.57.85,23425,ICMP,701383,583
2025-07-08 10:05:37,192.168.1.12,188.203.9.207,25085,UDP,564949,2161
2025-07-08 12:02:37,219.182.96.152,36.89.237.242,28711,TCP,845069,1865
2025-07-08 11:48:37,93.197.204.255,158.111.253.153,43409,UDP,571517,414
2025-07-08 00:23:37,188.203.9.207,192.168.1.37,45607,UDP,521077,3129
2025-07-08 02:44:37,162.113.81.3,192.168.1.38,50927,ICMP,6651620,1754
2025-07-08 16:34:37,192.168.1.20,78.246.182.161,80,TCP,182520,827
2025-07-07 21:41:37,78.246.182.161,169.36.133.71,8685,TCP,496046,854
2025-07-08 09:54:37,169.36.133.71,192.168.1.40,8685,ICMP,733234,3560
2025-07-08 00:04:37,86.11.159.4,147.17.218.28,45417,UDP,205687,2249
2025-07-08 03:40:37,222.189.22.20,100.21.146.64,18571,TCP,972442,183
2025-07-08 04:38:37,113.250.232.206,32.224.9.231,25085,TCP,234067,253
2025-07-08 01:20:37,83.157.199.74,43.93.233.226,995,UDP,313067,248
2025-07-08 06:57:37,192.168.1.10,110.136.87.160,15577,ICMP,684836,1155
2025-07-08 12:05:37,192.168.1.49,192.168.1.15,35320,UDP,53309,3035
2025-07-08 07:13:37,13.142.96.159,192.168.1.12,8685,TCP,409009,2274
2025-07-08 08:53:37,115.47.181.91,54.150.255.8,43409,UDP,465967,3474
2025-07-08 12:06:37,183.179.143.44,192.168.1.31,26803,ICMP,229086,403
2025-07-08 13:26:37,192.168.1.26,194.121.40.156,2658,TCP,86935,2436
2025-07-08 10:00:37,213.219.150.233,192.168.1.37,45878,UDP,473243,1877
2025-07-08 12:26:37,177.16.66.94,211.39.231.57,110,UDP,884510,1504
2025-07-08 08:22:37,119.230.201.57,192.168.1.46,63638,ICMP,7322962,1258
2025-07-08 06:49:37,186.32.162.56,4.146.247.130,1264,UDP,414287,2304
2025-07-08 07:14:37,110.136.87.160,192.168.1.28,47300,ICMP,427011,3282
2025-07-08 17:16:37,34.40.188.108,222.189.22.20,2589,TCP,575450,2198
2025-07-08 04:21:37,21.186.60.209,192.168.1.42,80,TCP,142961,278
2025-07-08 08:40:37,16.73.143.75,192.168.1.41,3083,UDP,638154,572
2025-07-08 06:02:37,202.202.173.55,12.2.236.183,12328,UDP,251306,975
2025-07-08 09:07:37,117.155.34.21,183.179.143.44,26803,UDP,698033,2908
2025-07-08 09:50:37,13.142.96.159,192.168.1.11,7940,TCP,9958228,2311
2025-07-08 14:28:37,177.16.66.94,192.168.1.30,6647,TCP,101075,1921
2025-07-08 13:38:37,194.121.40.156,192.168.1.10,51020,TCP,5403930,153
2025-07-08 15:04:37,78.246.182.161,192.168.1.10,43642,ICMP,588019,1466
2025-07-08 19:08:37,164.231.212.154,192.168.1.11,34823,UDP,939390,573
2025-07-08 16:17:37,155.223.46.187,65.46.117.115,143,ICMP,98283,3519
2025-07-08 17:51:37,162.113.81.3,101.185.34.222,43649,TCP,969710,1801
2025-07-08 15:58:37,192.168.1.21,192.168.1.40,15577,UDP,360365,3154
2025-07-08 05:06:37,194.121.40.156,155.161.184.245,1267,TCP,890078,160
2025-07-08 02:18:37,192.168.1.22,118.133.134.241,14977,ICMP,437660,951
2025-07-08 18:36:37,211.39.231.57,192.168.1.35,25085,UDP,8265363,2144
2025-07-08 04:06:37,192.168.1.43,100.21.146.64,143,ICMP,432129,2230
2025-07-08 09:30:37,54.205.54.78,192.168.1.40,38863,TCP,5044558,3140
2025-07-07 21:57:37,192.168.1.27,192.168.1.13,80,TCP,562605,3032
2025-07-08 02:04:37,135.35.12.107,12.2.236.183,45878,ICMP,9694,1833
2025-07-08 12:38:37,135.35.12.107,13.142.96.159,24287,TCP,227715,2100
2025-07-08 04:46:37,90.220.109.29,54.150.255.8,6647,TCP,67083,1314
2025-07-08 14:11:37,192.168.1.43,16.73.143.75,39805,UDP,958826,60
2025-07-08 02:12:37,162.31.176.95,192.168.1.12,50002,ICMP,386776,579
2025-07-08 18:00:37,185.199.25.83,4.146.247.130,25,TCP,808197,3594
2025-07-08 04:00:37,119.230.201.57,83.66.230.243,9191,UDP,157948,1375
2025-07-08 09:18:37,93.98.62.57,192.168.1.34,14977,UDP,251817,988
2025-07-08 13:44:37,113.250.232.206,211.39.231.57,15577,TCP,799247,3545
2025-07-08 04:47:37,87.159.69.91,213.219.150.233,51020,UDP,543498,348
2025-07-08 09:55:37,4.146.247.130,221.91.60.15,2658,ICMP,869681,2076
2025-07-08 11:13:37,199.119.150.212,104.197.200.107,50002,ICMP,720815,2731
2025-07-07 22:05:37,192.168.1.29,64.156.38.99,63638,TCP,365282,959
2025-07-08 02:57:37,157.149.95.221,64.94.201.159,18571,UDP,799687,1427
2025-07-08 07:39:37,213.219.150.233,192.168.1.21,38863,UDP,411055,1237
2025-07-08 03:05:37,43.93.233.226,147.17.218.28,28431,ICMP,114856,2151
2025-07-08 06:19:37,192.168.1.14,194.121.40.156,40074,UDP,849477,2464
2025-07-07 22:02:37,192.168.1.49,117.224.253.21,25085,UDP,245687,954
2025-07-08 00:01:37,93.197.204.255,188.203.9.207,43786,UDP,236412,837
2025-07-08 08:52:37,86.98.9.28,192.168.1.37,6297,ICMP,302876,379
2025-07-07 22:38:37,205.10.108.167,192.168.1.41,993,TCP,761647,3005
2025-07-08 10:16:37,162.113.81.3,205.10.108.167,24287,ICMP,902057,1771
2025-07-08 08:34:37,87.245.134.116,192.168.1.29,63638,UDP,186460,2755
2025-07-08 10:43:37,86.11.159.4,110.136.87.160,2589,UDP,991380,1979
2025-07-08 04:33:37,45.140.219.165,192.168.1.31,43649,TCP,774817,495
2025-07-08 03:13:37,192.168.1.18,205.10.108.167,28431,UDP,511997,299
2025-07-08 11:26:37,194.121.40.156,115.5.29.97,110,ICMP,44880,1699
2025-07-08 00:25:37,183.179.143.44,192.168.1.19,993,TCP,679603,1676
2025-07-08 05:20:37,192.168.1.27,221.254.243.92,34823,ICMP,845387,1072
2025-07-07 20:43:37,64.156.38.99,192.168.1.36,6297,ICMP,5412110,3425
2025-07-08 12:15:37,192.168.1.11,14.63.72.134,47300,UDP,693013,3335
2025-07-08 16:00:37,132.2.73.56,132.2.73.56,38863,UDP,583822,1263
2025-07-08 11:15:37,188.203.9.207,90.220.109.29,15577,UDP,83376,3204
2025-07-08 14:27:37,192.168.1.31,192.168.1.18,53,ICMP,643070,1820
2025-07-07 22:31:37,194.121.40.156,192.168.1.48,23425,UDP,515600,1476
2025-07-08 05:12:37,54.205.54.78,192.168.1.18,51020,ICMP,2815728,2793
2025-07-08 15:17:37,64.156.38.99,192.168.1.31,50002,ICMP,9712551,1587
2025-07-08 16:03:37,147.17.218.28,192.168.1.18,47300,UDP,8014015,2459
2025-07-08 14:19:37,54.150.255.8,83.66.230.243,63007,TCP,851064,534
2025-07-08 10:55:37,64.197.92.250,192.168.1.15,995,ICMP,803633,2481
2025-07-08 15:42:37,115.47.181.91,34.223.180.243,443,TCP,372126,1637
2025-07-08 16:47:37,4.66.167.88,219.182.96.152,443,TCP,301240,2475
2025-07-08 18:43:37,86.11.159.4,192.168.1.11,1264,ICMP,6470297,1630
2025-07-08 06:21:37,192.168.1.26,192.168.1.18,14977,TCP,792120,735
2025-07-08 02:38:37,54.207.22.164,34.40.188.108,6297,TCP,724217,201
2025-07-08 06:08:37,192.168.1.39,192.168.1.38,43642,ICMP,629868,860
2025-07-08 00:07:37,86.98.9.28,188.203.9.207,53980,TCP,404598,1963
2025-07-08 11:06:37,202.202.173.55,192.168.1.47,50339,UDP,839100,1713
2025-07-08 06:03:37,86.11.159.4,87.101.231.9,59980,UDP,74529,1567
2025-07-08 17:48:37,192.168.1.42,43.93.233.226,43649,ICMP,306632,1639
2025-07-08 16:48:37,87.245.134.116,192.168.1.27,52209,UDP,1112684,849
2025-07-07 19:47:37,199.119.150.212,69.18.75.160,143,TCP,878665,1550
2025-07-08 03:05:37,4.66.167.88,192.168.1.15,23425,UDP,939825,2991
2025-07-08 13:58:37,202.202.173.55,192.168.1.24,18571,TCP,3587871,3568
2025-07-08 01:37:37,196.44.170.188,192.168.1.14,23425,TCP,62738,104
2025-07-07 22:21:37,192.168.1.20,87.159.69.91,23425,ICMP,112936,756
2025-07-07 20:43:37,43.93.233.226,157.149.95.221,29147,ICMP,461807,2362
2025-07-07 23:15:37,192.168.1.42,115.5.29.97,3083,ICMP,421587,1089
2025-07-08 11:01:37,192.168.1.26,192.168.1.12,53,ICMP,52088,1827
2025-07-08 04:04:37,192.168.1.10,119.230.201.57,59980,ICMP,429504,1902
2025-07-08 04:19:37,192.168.1.26,87.159.69.91,50002,ICMP,971081,501
2025-07-08 13:23:37,213.219.150.233,115.47.181.91,25085,UDP,267797,1861
2025-07-08 04:34:37,118.133.134.241,192.168.1.44,2589,TCP,2671763,2093
2025-07-07 22:44:37,192.168.1.40,192.168.1.49,443,UDP,681577,1715
2025-07-07 23:41:37,192.168.1.26,192.168.1.39,993,TCP,43591,578
2025-07-08 01:41:37,212.104.57.85,162.113.81.3,50927,ICMP,461269,3348
2025-07-08 13:54:37,45.140.219.165,201.118.141.193,443,TCP,838096,901
2025-07-08 02:15:37,205.10.108.167,192.168.1.10,12345,UDP,2660019,3261
2025-07-08 14:05:37,4.66.167.88,93.98.62.57,995,UDP,881053,2764
2025-07-08 11:29:37,36.89.237.242,93.98.62.57,62257,TCP,702865,1099
2025-07-08 10:08:37,130.61.33.173,101.185.34.222,62257,TCP,577275,1802
2025-07-08 12:52:37,162.113.81.3,43.93.233.226,43649,UDP,262835,1476
2025-07-08 06:13:37,221.254.243.92,192.168.1.20,1264,ICMP,977518,357
2025-07-08 07:32:37,192.168.1.29,221.254.243.92,993,TCP,825278,2053
2025-07-07 21:23:37,192.168.1.37,78.246.182.161,45417,UDP,779595,396
2025-07-07 22:33:37,177.16.66.94,151.41.54.241,58686,UDP,910803,74
2025-07-08 00:28:37,169.36.133.71,130.61.33.173,2658,UDP,132698,1453
2025-07-08 01:45:37,192.168.1.46,192.168.1.45,43409,TCP,639889,377
2025-07-08 02:36:37,117.155.34.21,162.113.81.3,45607,TCP,48418,1348
2025-07-08 11:07:37,119.230.201.57,140.172.144.237,6647,ICMP,424224,1891
2025-07-08 06:02:37,192.168.1.29,192.168.1.10,25049,TCP,838543,1898
2025-07-08 18:07:37,205.10.108.167,192.168.1.26,47300,UDP,66810,2993
2025-07-08 16:06:37,115.47.181.91,169.36.133.71,53,ICMP,857218,478
2025-07-08 13:07:37,192.168.1.36,192.168.1.39,50927,UDP,380589,2147
2025-07-08 09:40:37,183.179.143.44,192.168.1.45,50927,UDP,6862210,3357
2025-07-08 08:36:37,115.47.181.91,192.168.1.29,25085,TCP,1941381,1384
2025-07-08 16:35:37,195.137.250.173,69.18.75.160,80,ICMP,195696,3053
2025-07-08 02:50:37,119.229.134.49,169.36.133.71,35320,TCP,790184,1852
2025-07-08 11:39:37,192.168.1.17,162.31.176.95,52209,UDP,407566,30
2025-07-08 04:20:37,104.197.200.107,192.168.1.10,23425,TCP,2075556,2179
2025-07-08 05:11:37,186.32.162.56,100.21.146.64,9191,ICMP,516736,2245
2025-07-07 21:53:37,192.168.1.48,192.168.1.26,53980,TCP,225261,1569
2025-07-08 07:58:37,83.157.199.74,85.38.165.125,47300,TCP,874363,253
2025-07-08 17:52:37,132.2.73.56,192.168.1.32,43649,UDP,863847,477
2025-07-07 23:10:37,192.168.1.38,87.101.231.9,29147,ICMP,704102,3139
2025-07-07 21:55:37,69.18.75.160,210.38.190.248,143,TCP,403455,2444
2025-07-08 10:47:37,91.57.11.161,192.168.1.17,22,ICMP,473255,2588
2025-07-07 23:57:37,14.63.72.134,202.202.173.55,51020,TCP,801084,1021
2025-07-07 23:36:37,14.63.72.134,101.185.34.222,43786,TCP,577405,2575
2025-07-08 09:36:37,130.61.33.173,134.82.248.42,24287,TCP,779988,2815
2025-07-08 13:21:37,12.64.85.94,34.40.188.108,26803,TCP,785123,1441
2025-07-08 07:19:37,64.197.92.250,192.168.1.35,12645,UDP,7939457,3115
2025-07-08 19:34:37,115.5.29.97,192.168.1.34,2658,TCP,86138,3037
2025-07-08 09:41:37,78.45.118.32,77.157.103.122,80,UDP,951297,1637
2025-07-08 17:48:37,192.168.1.39,192.168.1.37,9191,UDP,336182,3510
2025-07-08 11:49:37,135.35.12.107,192.168.1.12,63638,TCP,667839,2552
2025-07-08 14:30:37,192.168.1.30,195.137.250.173,43649,UDP,93682,2251
2025-07-07 19:46:37,18.125.169.171,192.168.1.12,43786,TCP,4686051,2550
2025-07-08 13:44:37,207.204.98.62,192.168.1.32,58686,TCP,152988,3258
2025-07-08 00:44:37,65.46.117.115,194.121.40.156,12645,TCP,436896,1601
2025-07-08 06:03:37,221.91.60.15,192.168.1.43,53,UDP,688290,758
2025-07-08 10:09:37,130.61.33.173,192.168.1.21,18571,TCP,646654,243
2025-07-08 05:25:37,139.227.194.220,209.173.79.182,23666,TCP,937471,574
2025-07-08 14:47:37,192.168.1.47,104.197.200.107,45417,UDP,654397,1200
2025-07-08 16:32:37,152.129.38.82,110.136.87.160,9191,ICMP,848436,2000
2025-07-08 11:32:37,16.73.143.75,117.155.34.21,43649,UDP,2773,2276
2025-07-07 21:40:37,199.197.11.203,192.168.1.36,143,UDP,685809,2030
2025-07-08 11:17:37,13.142.96.159,205.10.108.167,40074,ICMP,418908,1024
2025-07-08 12:58:37,222.189.22.20,192.168.1.32,25085,TCP,300853,1593
2025-07-08 04:01:37,192.168.1.10,192.168.1.38,38863,ICMP,981626,906
2025-07-08 18:28:37,64.156.38.99,192.168.1.30,40074,UDP,9870260,316
2025-07-08 01:50:37,192.168.1.30,192.168.1.35,43649,ICMP,311523,1033
2025-07-07 22:58:37,192.168.1.40,90.220.109.29,39805,TCP,209640,375
2025-07-07 21:37:37,209.173.79.182,192.168.1.28,8685,TCP,697658,2074
2025-07-08 16:02:37,104.197.200.107,192.168.1.36,23177,TCP,207407,3077
2025-07-08 03:19:37,89.151.250.197,192.168.1.29,34823,ICMP,1426364,3436
2025-07-08 17:21:37,158.111.253.153,186.32.162.56,12328,ICMP,889520,1414
2025-07-07 22:18:37,195.137.250.173,93.98.62.57,63007,TCP,800593,1607
2025-07-08 13:00:37,90.220.109.29,192.168.1.32,23425,UDP,873501,1303
2025-07-08 07:51:37,177.16.66.94,202.202.173.55,28711,UDP,774358,2986
2025-07-08 13:51:37,192.168.1.48,192.168.1.21,38863,UDP,801590,2635
2025-07-08 01:37:37,192.168.1.13,192.168.1.41,45607,UDP,639248,3365
2025-07-07 20:57:37,162.113.81.3,192.168.1.10,62257,UDP,2370223,1007
2025-07-08 05:26:37,4.146.247.130,115.5.29.97,51020,TCP,556829,995
